rank,title,release_date,metascore
152.,Warcraft III: Reign of Chaos,2002-07-03,92
153.,Banjo-Kazooie,1998-06-29,92
154.,The Sims,2000-02-04,92
156.,Celeste,2018-01-25,92
157.,Forza Motorsport (2005),2005-05-03,92
158.,Forza Horizon 5,2021-11-05,92
159.,Advance Wars,2001-09-09,92
160.,Vagrant Story,2000-05-15,92
161.,Team Fortress 2,2007-10-10,92
162.,System Shock 2,1999-08-11,92
163.,Final Fantasy XII,2006-10-31,92
164.,The Witcher 3: Wild Hunt,2015-05-19,92
165.,Super Mario World: Super Mario Advance 2,2002-02-09,92
166.,ESPN NFL 2K5,2004-07-20,92
167.,Super Smash Bros. Melee,2001-12-03,92
168.,Street Fighter 6,2023-06-02,92
169.,Virtua Tennis,2000-07-12,92
170.,Rome: Total War,2004-09-22,92
171.,Forza Motorsport 3,2009-10-27,92
172.,Blue Prince,2025-04-10,92
173.,Demon's Souls,2020-11-11,92
174.,Undertale,2015-09-15,92
175.,Batman: Arkham Asylum,2009-08-25,92
176.,Super Mario Sunshine,2002-08-26,92
177.,Tony Hawk's Pro Skater,1999-09-29,92
178.,Thief: The Dark Project,1998-11-30,92
179.,Fire Emblem: Awakening,2013-02-04,92
180.,Age of Empires II: The Age of Kings,1999-09-30,92
181.,Final Fantasy X,2001-12-17,92
183.,Sid Meier's Alpha Centauri,1999-02-12,92
184.,Divinity: Original Sin II - Definitive Edition,2018-08-31,92
185.,Galactic Civilizations II: Twilight of the Arnor,2008-04-30,92
186.,Super Smash Bros. for Nintendo 3DS / Wii U,2014-11-21,92
187.,Guitar Hero II,2006-11-07,92
188.,Final Fantasy VII,1997-09-07,92
189.,Chrono Trigger,2008-11-25,92
190.,Final Fantasy XIV: Endwalker,2021-12-07,92
191.,Journey,2012-03-13,92
192.,Medal of Honor (1999),1999-10-31,92
193.,Conker's Bad Fur Day,2001-03-04,92
194.,Rock Band 2,2008-09-14,92
195.,Mario Kart 8 Deluxe,2017-04-28,92
196.,The ICO & Shadow of the Colossus Collection,2011-09-27,92
197.,Metroid Prime 2: Echoes,2004-11-15,92
199.,Metroid Fusion,2002-11-17,92
200.,The Witcher 3: Wild Hunt - Blood and Wine,2016-05-30,92
201.,Final Fantasy VI,2007-02-05,92
202.,Rayman Legends,2013-09-03,92
203.,UFO 50,2024-09-18,91
204.,Madden NFL 2005,2004-08-09,91
205.,Against the Storm,2023-12-08,91
207.,Medal of Honor: Allied Assault,2002-01-20,91
208.,LittleBigPlanet 2,2011-01-18,91
209.,Microsoft Flight Simulator,2020-08-18,91
210.,Guitar Hero,2005-11-07,91
212.,World of Warcraft: Wrath of the Lich King,2008-11-13,91
213.,Metroid Prime Trilogy,2009-08-24,91
215.,Madden NFL 2001,2000-10-23,91
218.,Overwatch,2016-05-23,91
219.,Bayonetta 2,2014-10-24,91
220.,Klonoa 2: Lunatea's Veil,2001-07-25,91
221.,FreeSpace 2,1999-09-30,91
222.,Mario Tennis,2000-08-28,91
225.,Ratchet & Clank: Up Your Arsenal,2004-11-03,91
226.,Resident Evil (Remake),2002-04-30,91
227.,Metal Gear Solid 3: Snake Eater,2004-11-17,91
228.,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,2019-09-27,91
229.,Twisted Metal: Black,2001-06-18,91
230.,Spyro: Year of the Dragon,2000-10-10,91
232.,Forza Horizon 3,2016-09-23,91
234.,NCAA Football 2003,2002-07-20,91
236.,Crysis,2007-11-13,91
237.,Ninja Gaiden (2004),2004-03-02,91
238.,God of War: Chains of Olympus,2008-03-04,91
239.,DOA2: Hardcore,2000-10-25,91
240.,World of Warcraft: The Burning Crusade,2007-01-16,91
241.,MLB 10: The Show,2010-03-02,91
242.,Shadow of the Colossus,2018-02-06,91
243.,Yoshi's Island: Super Mario Advance 3,2002-09-24,91
244.,ESPN NFL Football,2003-09-03,91
245.,Tony Hawk's Pro Skater 2,2000-10-25,91
247.,The Longest Journey,2000-11-16,91
248.,Halo: Reach,2010-09-14,91
249.,Galactic Civilizations II: Dark Avatar,2007-02-14,91
250.,Mass Effect,2007-11-20,91
251.,Split Fiction,2025-03-06,91
252.,The Operative: No One Lives Forever,2000-11-11,91
253.,Resident Evil 3: Nemesis,1999-11-11,91
254.,Forza Motorsport 4,2011-10-11,91
256.,Crusader Kings III,2020-09-01,91
257.,Battlefield 2,2005-06-21,91
258.,God of War Collection,2009-11-17,91
259.,Planescape: Torment,1999-12-14,91
260.,Gears of War 3,2011-09-20,91
261.,Killzone 2,2009-02-27,91
262.,Neverwinter Nights,2002-06-16,91
263.,Castlevania: Aria of Sorrow,2003-05-06,91
264.,No One Lives Forever 2: A Spy in H.A.R.M.'s Way,2002-09-30,91
265.,Legacy of Kain: Soul Reaver,1999-08-13,91
266.,Golden Sun,2001-11-11,91
267.,Disco Elysium,2019-10-15,91
268.,World Soccer Winning Eleven 8 International,2005-02-01,91
269.,The Legend of Zelda: A Link Between Worlds,2013-11-22,91
271.,Castlevania: Circle of the Moon,2001-06-10,91
273.,Resident Evil 2,2019-01-25,91
274.,Satisfactory,2024-09-10,91
275.,Dark Souls II,2014-03-11,91
276.,Shovel Knight: Treasure Trove,2017-03-03,91
279.,Call of Duty,2003-10-29,91
280.,Mario Kart DS,2005-11-14,91
281.,Assassin's Creed II,2009-11-17,90
282.,Animal Well,2024-05-09,90
283.,Balatro,2024-02-20,90
284.,Project Gotham Racing 2,2003-11-18,90
285.,Animal Crossing: New Horizons,2020-03-20,90
286.,The Sims 2,2004-09-14,90
287.,Final Fantasy XIV: Shadowbringers,2019-07-02,90
288.,World of Warcraft: Cataclysm,2010-12-07,90
